name,brand,category,price,lidlPlusPrice,packagingQty,packagingUnit,compareUnit,pricePerUnit,cal,protein,carbs,fat,link
"Monkey shoulder original","","Offres Flash","23.45","","700","ml","L","33.5","271","59.4","0","3.7","https://www.lidl.fr/p/monkey-shoulder-original/p10033784"
"VALLÉE DU RHÔNE l Pays des Bouches du Rhône","","Foire aux vins","1.99","","","","L","2.65","250","14.3","3.6","21.4","https://www.lidl.fr/p/vallee-du-rhone-l-pays-des-bouches-du-rhone/p10033794"
"BORDEAUX","","Foire aux vins","1.99","","","","L","2.65","200","0","40","0","https://www.lidl.fr/p/bordeaux/p10033795"
"BORDEAUX l Montagne- Saint-Émilion","","Foire aux vins","3.99","","","","L","5.32","200","0","40","0","https://www.lidl.fr/p/bordeaux-l-montagne-saint-emilion/p10033796"
"BORDEAUX Supérieur","","Foire aux vins","2.59","","","","L","3.45","200","0","40","0","https://www.lidl.fr/p/bordeaux-superieur/p10033797"
"SUD-OUEST l Côtes de Gascogne","","Foire aux vins","2.99","","","","L","3.98","46","0","12.5","0","https://www.lidl.fr/p/sud-ouest-l-cotes-de-gascogne/p10033802"
"CHAMPAGNE BRUT","","Foire aux vins","19.99","17.99","","","","","325","7.5","72.5","0","https://www.lidl.fr/p/champagne-brut/p10033824"
"Beaucarnéa","","Plantes & fleurs","17.99","","1","pièce","","","","","","","https://www.lidl.fr/p/beaucarnea/p10033840"
"Camembert di bufala à la truffe blanche d'été","","Deluxe","4.49","","150","g","kg","29.93","267","20","0","20","https://www.lidl.fr/p/camembert-di-bufala-a-la-truffe-blanche-d-ete/p10033852"
"12 minis canelés","","Deluxe","1.99","1.49","","","","","300","0","80","0","https://www.lidl.fr/p/12-minis-caneles/p10033857"
"Gigot d'agneau","","Deluxe","13.99","","","","","","125","21.4","0","4.5","https://www.lidl.fr/p/gigot-d-agneau/p10033864"
"Navarin de la mer","","Deluxe","7.99","","800","g","kg","9.99","285","26.9","0","18.9","https://www.lidl.fr/p/navarin-de-la-mer/p10033865"
"Viande hachée porc et bœuf","","Viandes, volailles & poissons","9.99","7.99","","","","","297","25.7","0","20.8","https://www.lidl.fr/p/viande-hachee-porc-et-boeuf/p10033912"
"Select & Go Sushi Box Junsei – 6 nigiris au saumon cru GGN","Select & Go","Produits frais autre","3.99","","178.5","g","kg","22.35","129","8.2","20","1.2","https://www.lidl.fr/p/select-go-sushi-box-junsei-6-nigiris-au-saumon-cru-ggn/p10024899"
"Sanex Dermacare Nourrisant & Hypoallergénique","","Offres Flash","1.44","","","","L","6.98","","","","","https://www.lidl.fr/p/sanex-dermacare-nourrisant-hypoallergenique/p10033629"
"L’Oreal Paris revitalift laser","","Offres Flash","9.19","","50","ml","L","183.8","","","","","https://www.lidl.fr/p/l-oreal-paris-revitalift-laser/p10033630"
"Petites figurines de Pâques","","Favorina","1.99","1.59","","","","","85","0.1","2.7","0","https://www.lidl.fr/p/petites-figurines-de-paques/p10033788"
"LOIRE l Chinon","","Foire aux vins","5.49","","75","cl","L","7.32","429","14.3","25","32.1","https://www.lidl.fr/p/loire-l-chinon/p10033809"
"Jardinière de Campanule","","Plantes & fleurs","9.99","","1","pièce","","","","","","","https://www.lidl.fr/p/jardiniere-de-campanule/p10033828"
"Pain aux 3 chocolats","","Pains & viennoiseries","0.89","0.69","","","","","400","7.5","53.8","17.5","https://www.lidl.fr/p/pain-aux-3-chocolats/p10033561"
"Wraps vegan aux légumes","","Vemondo","2.19","","370","g","kg","5.92","203","7.5","17","8.3","https://www.lidl.fr/p/wraps-vegan-aux-legumes/p10032141"
"Azalée","","Plantes & fleurs","6.99","","1","pièce","","","","","","","https://www.lidl.fr/p/azalee/p10033050"
"Hauts de cuisse de poulet","","Viandes, volailles & poissons","6.99","","2","kg","kg","3.5","241","16.1","0","16.1","https://www.lidl.fr/p/hauts-de-cuisse-de-poulet/p10033247"
"Médaillons de filet de poulet","","Viandes, volailles & poissons","7.99","","800","g","kg","9.99","276","10.9","27.4","13.6","https://www.lidl.fr/p/medaillons-de-filet-de-poulet/p10033555"
"Riz Thai Jasmin Bio","","Lidl Plus","2.45","1.96","","","","","148","2.8","32.4","0","https://www.lidl.fr/p/riz-thai-jasmin-bio/p10033563"
"Yaourts à la grecque sur lit de fruits","","Moins Cher","1.39","","","","kg","2.82","322","0.3","82.7","0.1","https://www.lidl.fr/p/yaourts-a-la-grecque-sur-lit-de-fruits/p10033580"
"Knorr soupe indonésienne","","Moins Cher","0.87","","1","pièce","kg","19.41","37","2.5","5.7","0.6","https://www.lidl.fr/p/knorr-soupe-indonesienne/p10033586"
"Bud bière lager","","Moins Cher","4.11","","","","L","2.05","29","0.3","1.3","0","https://www.lidl.fr/p/bud-biere-lager/p10033593"
"Fairy platinum + original","","Moins Cher","7.65","","710","g","kg","11.58","","","","","https://www.lidl.fr/p/fairy-platinum-original/p10033599"
"Petit Navire Saumon fumé Norvège","","Offres Flash","5.39","","140","g","kg","38.5","117","18.3","0","4.3","https://www.lidl.fr/p/petit-navire-saumon-fume-norvege/p10033602"
"Broyés du Poitou Sarrasin","","Offres Flash","3.99","","320","g","kg","12.47","","","","","https://www.lidl.fr/p/broyes-du-poitou-sarrasin/p10033618"
"Pom’Potes fruits jaunes","","Offres Flash","10.5","","","","kg","3.64","322","0.3","82.7","0.1","https://www.lidl.fr/p/pom-potes-fruits-jaunes/p10033622"
"Boîte de petits œufs","","Favorina","14.99","","2","kg","kg","7.5","55","10.7","2.4","0","https://www.lidl.fr/p/boite-de-petits-oeufs/p10033663"
"Delacre Dubai Style Chocolate","","Favorina","4.49","","130","g","kg","34.54","497","4.3","65","24.4","https://www.lidl.fr/p/delacre-dubai-style-chocolate/p10033675"
"Pâtes de fruits","","Favorina","5.99","","1","kg","","","327","11.2","6.3","28.5","https://www.lidl.fr/p/pates-de-fruits/p10033678"
"Gustavo gusto pizza","","Offres Flash","4.79","","","","kg","14.74","280","11.7","29.9","12.6","https://www.lidl.fr/p/gustavo-gusto-pizza/p10033782"
"ALSACE l Riesling","","Foire aux vins","5.32","2.66","","","","","80","0.1","3.7","0","https://www.lidl.fr/p/alsace-l-riesling/p10033804"
"VALLÉE DU RHÔNE l Beaumes de Venise","","Foire aux vins","5.99","","75","cl","L","7.99","263","0","57.9","0","https://www.lidl.fr/p/vallee-du-rhone-l-beaumes-de-venise/p10033810"
"ALSACE Gewurztraminer","","Foire aux vins","8.88","7.99","","","","","81","0.1","2.6","0","https://www.lidl.fr/p/alsace-gewurztraminer/p10033818"
"PROVENCE-ALPES-CÖTES d'AZUR l Côtes de Provence","","Foire aux vins","5.49","","75","cl","L","7.32","21","0.4","3.8","0.4","https://www.lidl.fr/p/provence-alpes-cotes-d-azur-l-cotes-de-provence/p10033821"
"PROVENCE-ALPES-CÖTES d'AZUR l Alpilles","","Foire aux vins","3.99","","75","cl","L","5.32","21","0.4","3.8","0.4","https://www.lidl.fr/p/provence-alpes-cotes-d-azur-l-alpilles/p10033822"
"Agrumes sur tige","","Plantes & fleurs","26.99","","1","pièce","","","","","","","https://www.lidl.fr/p/agrumes-sur-tige/p10033831"
"Orchidée en pot céramique","","Plantes & fleurs","12.99","","1","pièce","","","176","6.5","17.7","8.8","https://www.lidl.fr/p/orchidee-en-pot-ceramique/p10033833"
"Bulbes printanier en pot bio dégradable","","Plantes & fleurs","2.99","","1","pièce","","","31","1.2","7.3","0.2","https://www.lidl.fr/p/bulbes-printanier-en-pot-bio-degradable/p10033835"
"Raclette saveur truffe d'été","","Deluxe","3.99","2.79","","","","","357","21.4","0","28.6","https://www.lidl.fr/p/raclette-saveur-truffe-d-ete/p10033850"
"Cubes glacés","","Deluxe","4.49","","400","g","kg","11.23","170","17.3","16.1","4","https://www.lidl.fr/p/cubes-glaces/p10033868"
"Pain rustique","","Pains & viennoiseries","1.37","","1","pièce","kg","2.48","333","12.1","69.7","1.5","https://www.lidl.fr/p/pain-rustique/p10004766"
"Select & Go Sushi Wrap - thon et fromage frais","Select & Go","Produits frais autre","3.49","","215","g","kg","16.23","134","0","0","0","https://www.lidl.fr/p/select-go-sushi-wrap-thon-et-fromage-frais/p10024893"
"Select & Go Poke bowl au saumon","Select & Go","Produits frais autre","4.99","","297","g","kg","16.8","144","8","22.4","2","https://www.lidl.fr/p/select-go-poke-bowl-au-saumon/p10024894"
"Select & Go 5 Gyozas au poulet","Select & Go","Produits frais autre","2.99","","100","g","kg","29.9","57","2.5","9","1.2","https://www.lidl.fr/p/select-go-5-gyozas-au-poulet/p10024895"
"Select & Go Pad Thaï aux crevettes","Select & Go","Produits frais autre","4.99","","290","g","kg","17.21","138","6.3","19.4","3.8","https://www.lidl.fr/p/select-go-pad-thai-aux-crevettes/p10024896"
"Select & Go Sashimi","Select & Go","Produits frais autre","3.79","","80","g","kg","47.38","102","19.7","4.1","0.3","https://www.lidl.fr/p/select-go-sashimi/p10024897"
"Select & Go Sushi Wrap - fromage frais aux herbes","Select & Go","Produits frais autre","3.49","","215","g","kg","16.23","59","2.1","10.2","1.9","https://www.lidl.fr/p/select-go-sushi-wrap-fromage-frais-aux-herbes/p10024900"
"Pomme de terre Amandine","","Fruits & légumes","2.69","1.77","","","","","567","16.7","36.7","43.3","https://www.lidl.fr/p/pomme-de-terre-amandine/p10032824"
"2 croque-monsieur","","Moins Cher","1.24","","","","kg","5.3","","","","","https://www.lidl.fr/p/2-croque-monsieur/p10032854"
"Poudre d'amande","","1001 delights","3.99","","400","g","kg","9.98","615","23.1","15.4","53.8","https://www.lidl.fr/p/poudre-d-amande/p10033077"
"Pilons de poulet","","Viandes, volailles & poissons","5.25","","1.5","kg","kg","3.5","138","19","0","6.9","https://www.lidl.fr/p/pilons-de-poulet/p10033248"
"Pain de mie grandes tranches","","Moins Cher","1.2","","750","g","kg","1.6","219","9.8","26","8.5","https://www.lidl.fr/p/pain-de-mie-grandes-tranches/p10033269"
"Pomme Pink lady®","","Fruits & légumes","2.99","1.97","","","","","52","0.3","14.3","0","https://www.lidl.fr/p/pomme-pink-lady/p10033546"
"Jeunes pousses d'endives","","Fruits & légumes","2.49","1.64","","","","","68","4.5","11.4","0.8","https://www.lidl.fr/p/jeunes-pousses-d-endives/p10033547"
"Echalote Tresse","","Fruits & légumes","2.99","1.97","","","","","","","","","https://www.lidl.fr/p/echalote-tresse/p10033548"
"Céleri branche","","Fruits & légumes","2.29","1.51","","","","","14","0.7","3","0.2","https://www.lidl.fr/p/celeri-branche/p10033549"
"Sauté de porc","","Viandes, volailles & poissons","6.95","","1","kg","","","285","26.9","0","18.9","https://www.lidl.fr/p/saute-de-porc/p10033551"
"Filets de limande du Nord meuniere","","Viandes, volailles & poissons","8.99","","800","g","kg","11.24","91","19","0","1","https://www.lidl.fr/p/filets-de-limande-du-nord-meuniere/p10033554"
"4 crépinettes de porc","","Viandes, volailles & poissons","2.99","","500","g","kg","5.98","372","11.6","2.3","34.9","https://www.lidl.fr/p/4-crepinettes-de-porc/p10033558"
"Mini escalopes de poulet panées","","Viandes, volailles & poissons","5.29","4.23","","","","","228","7","47.4","0","https://www.lidl.fr/p/mini-escalopes-de-poulet-panees/p10033560"
"Petits pois très fins Bio","","Lidl Plus","2.39","1.91","","","","","81","5.4","14.4","0.4","https://www.lidl.fr/p/petits-pois-tres-fins-bio/p10033562"
"Miel Bio","","Lidl Plus","4.99","3.99","","","","","286","0","81","0","https://www.lidl.fr/p/miel-bio/p10033564"
"Soja cuisine Bio","","Lidl Plus","0.95","0.76","","","","","53","2","8.7","1.2","https://www.lidl.fr/p/soja-cuisine-bio/p10033565"
"Compote en gourde Bio","","Lidl Plus","1.9","1.53","","","","","20","1.2","4.4","0.2","https://www.lidl.fr/p/compote-en-gourde-bio/p10033566"
"Pain pita","","1001 delights","1.49","","320","g","kg","4.66","231","10.3","43.6","2.6","https://www.lidl.fr/p/pain-pita/p10033567"
"Confiture de figue ou gelée de grenade","","1001 delights","1.99","","250","g","kg","7.96","225","0","60","0","https://www.lidl.fr/p/confiture-de-figue-ou-gelee-de-grenade/p10033568"
"Sirop de dattes","","1001 delights","2.49","1.99","","","","","300","0","75","0","https://www.lidl.fr/p/sirop-de-dattes/p10033570"
"28 bâtonnets de poisson MSC","","Moins Cher","2.74","1.37","","","","","277","11","21.7","16.2","https://www.lidl.fr/p/28-batonnets-de-poisson-msc/p10033572"
"4 nems au poulet","","Moins Cher","1.23","","","","kg","5.34","148","6.9","22.9","4.2","https://www.lidl.fr/p/4-nems-au-poulet/p10033575"
"Véritables Andouillettes de Troyes","","Moins Cher","1.4","","","","kg","8.15","","","","","https://www.lidl.fr/p/veritables-andouillettes-de-troyes/p10033576"
"St Môret","","Moins Cher","1.41","","","","kg","9.13","214","7.1","44.6","0","https://www.lidl.fr/p/st-moret/p10033578"
"Vache qui rit","","Moins Cher","1.93","","1","pièce","kg","7.55","149","3.6","15.6","8.5","https://www.lidl.fr/p/vache-qui-rit/p10033579"
"La laitière crème aux œufs","","Moins Cher","0.88","","","","kg","3.3","55","10.7","2.4","0","https://www.lidl.fr/p/la-laitiere-creme-aux-oeufs/p10033581"
"Sachet vapeur « légumes verts »","","Moins Cher","0.86","","","","kg","2.77","29","2.4","7.1","0","https://www.lidl.fr/p/sachet-vapeur-legumes-verts/p10033583"
"Frites four allumettes","","Moins Cher","2.06","1.36","","","","","148","2.6","27","3.8","https://www.lidl.fr/p/frites-four-allumettes/p10033584"
"Poêlée savoyarde","","Moins Cher","3.19","","900","g","kg","3.54","","","","","https://www.lidl.fr/p/poelee-savoyarde/p10033585"
"Gaufres liégeoises au sucre","","Moins Cher","2.69","1.35","","","","","273","6.6","41","9.2","https://www.lidl.fr/p/gaufres-liegeoises-au-sucre/p10033588"
"Boisson à l'orange","","Moins Cher","1.35","","","","L","1.01","53","2","8.7","1.2","https://www.lidl.fr/p/boisson-a-l-orange/p10033591"
"Signal pro sensibilité","","Moins Cher","2.29","","75","ml","L","30.53","","","","","https://www.lidl.fr/p/signal-pro-sensibilite/p10033596"
"Recharge savon liquide","","Moins Cher","3.49","1.12","","","","","","","","","https://www.lidl.fr/p/recharge-savon-liquide/p10033597"
"Ovive Truite fumée","","Offres Flash","9.99","","240","g","kg","44.63","143","21.4","0","7.1","https://www.lidl.fr/p/ovive-truite-fumee/p10033601"
"Tajine au bœuf","","Offres Flash","5.99","","1","kg","","","35","0.7","8.5","0","https://www.lidl.fr/p/tajine-au-boeuf/p10033603"
"Flamiche au Maroilles","","Offres Flash","4.99","","330","g","kg","15.35","","","","","https://www.lidl.fr/p/flamiche-au-maroilles/p10033604"
"Maxi Mont d’Or AOP","","Offres Flash","18.99","","1.4","kg","kg","13.56","375","12.5","79.2","4.2","https://www.lidl.fr/p/maxi-mont-d-or-aop/p10033605"
"Reblochon de Savoie entier AOP","","Offres Flash","5.99","","450","g","kg","13.31","27","2","6.1","0.1","https://www.lidl.fr/p/reblochon-de-savoie-entier-aop/p10033606"
"Chaumes ou vieux pané","","Offres Flash","2.79","","180","g","kg","15.5","228","7","47.4","0","https://www.lidl.fr/p/chaumes-ou-vieux-pane/p10033607"
"Leerdammer","","Offres Flash","3.39","","400","g","kg","8.48","","","","","https://www.lidl.fr/p/leerdammer/p10033609"
"Mozzarella râpée","","Offres Flash","3.69","","500","g","kg","7.38","304","23.6","8.1","19.7","https://www.lidl.fr/p/mozzarella-rapee/p10033610"
"Nestlé yaourt mix","","Offres Flash","1.25","","","","kg","4.07","400","3","75","15","https://www.lidl.fr/p/nestle-yaourt-mix/p10033611"
"Activia Fruits","","Offres Flash","4.79","","","","kg","2.9","322","0.3","82.7","0.1","https://www.lidl.fr/p/activia-fruits/p10033612"
"Yoplait perle de lait","","Offres Flash","1.59","","1","pièce","kg","2.12","214","14.3","3.6","14.3","https://www.lidl.fr/p/yoplait-perle-de-lait/p10033613"
"Kinder pingui coco","","Offres Flash","1.89","","","","kg","15.75","389","3.4","86.8","4.6","https://www.lidl.fr/p/kinder-pingui-coco/p10033614"
"Panzani torti cuisson rapide","","Offres Flash","2.15","","","","kg","1.43","800","0","0","80","https://www.lidl.fr/p/panzani-torti-cuisson-rapide/p10033616"
"Canistrelli de Corse","","Offres Flash","3.39","","350","g","kg","9.69","","","","","https://www.lidl.fr/p/canistrelli-de-corse/p10033619"
"Miel de fleur onctueux","","Offres Flash","8.99","","1","kg","","","304","0.3","82.4","0","https://www.lidl.fr/p/miel-de-fleur-onctueux/p10033620"
"Nestlé lait concentré","","Offres Flash","1.69","","397","g","kg","4.26","321","7.9","54.4","8.7","https://www.lidl.fr/p/nestle-lait-concentre/p10033623"
"Les 2 marmottes infusion fenouil","","Offres Flash","4.55","","60","g","kg","75.83","100","0","80","0","https://www.lidl.fr/p/les-2-marmottes-infusion-fenouil/p10033625"
"1664 Rosé","","Offres Flash","2.99","","","","kg","2.99","25","0.6","5.7","0.3","https://www.lidl.fr/p/1664-rose/p10033626"
"Briochin super décapant cuisine","","Offres Flash","3.89","","1.33","L","L","2.92","","","","","https://www.lidl.fr/p/briochin-super-decapant-cuisine/p10033633"
"Destop gel canalisations agrumes","","Offres Flash","2.49","","750","ml","L","3.32","","","","","https://www.lidl.fr/p/destop-gel-canalisations-agrumes/p10033634"
"Fairy platinum citron","","Offres Flash","7.65","","710","g","kg","11.58","","","","","https://www.lidl.fr/p/fairy-platinum-citron/p10033635"
"Essuie-tout","","Offres Flash","6.99","","","","","","","","","","https://www.lidl.fr/p/essuie-tout/p10033638"
"Gourmet revelation thon","","Offres Flash","1.09","","","","L","8.38","187","16","9.4","9.3","https://www.lidl.fr/p/gourmet-revelation-thon/p10033639"
"Catsan hygiène plus","","Offres Flash","4.59","","9","L","L","0.51","","","","","https://www.lidl.fr/p/catsan-hygiene-plus/p10033640"
"Lapin au chocolat avec ruban","","Favorina","2.99","2.39","","","","","279","2.1","65.1","1.1","https://www.lidl.fr/p/lapin-au-chocolat-avec-ruban/p10033641"
"Les p’tits œufs","","Favorina","1.99","1.59","","","","","55","10.7","2.4","0","https://www.lidl.fr/p/les-p-tits-oeufs/p10033642"
"Boules praliné","","Favorina","2.49","1.99","","","","","485","3.3","59.6","25.9","https://www.lidl.fr/p/boules-praline/p10033643"
"Pain d’épice","","Favorina","2.99","2.39","","","","","408","10.4","44.8","20.8","https://www.lidl.fr/p/pain-d-epice/p10033644"
"Œuf massepain","","Favorina","1.99","1.49","","","","","","","","","https://www.lidl.fr/p/oeuf-massepain/p10033645"
"Moulages animaux en chocolat au lait","","Favorina","2.49","1.99","","","","","535","7.7","59.4","29.7","https://www.lidl.fr/p/moulages-animaux-en-chocolat-au-lait/p10033646"
"Œufs dans un filet","","Favorina","0.99","0.79","","","","","282","11.3","26.4","14.6","https://www.lidl.fr/p/oeufs-dans-un-filet/p10033647"
"Filet de pièces d’or","","Favorina","1.99","1.39","","","","","282","11.3","26.4","14.6","https://www.lidl.fr/p/filet-de-pieces-d-or/p10033648"
"Œufs chocolat au lait","","Favorina","9.99","","1","kg","","","112","4.1","17.6","2.8","https://www.lidl.fr/p/oeufs-chocolat-au-lait/p10033652"
"Peluche avec chocolat","","Favorina","6.49","","100","g","kg","64.9","","","","","https://www.lidl.fr/p/peluche-avec-chocolat/p10033653"
"Moulage en chocolat","","Favorina","2.99","","150","g","kg","19.93","279","2.1","65.1","1.1","https://www.lidl.fr/p/moulage-en-chocolat/p10033655"
"Sucette en chocolat","","Favorina","0.99","","20","g","kg","59.5","279","2.1","65.1","1.1","https://www.lidl.fr/p/sucette-en-chocolat/p10033656"
"Moulage au chocolat","","Favorina","2.99","","115","g","kg","26","279","2.1","65.1","1.1","https://www.lidl.fr/p/moulage-au-chocolat/p10033657"
"Délices de Pâques","","Favorina","2.49","","200","g","kg","12.45","40","1.8","5.3","1.3","https://www.lidl.fr/p/delices-de-paques/p10033660"
"Friture chocolat au lait","","Favorina","2.29","","250","g","kg","9.16","535","7.7","59.4","29.7","https://www.lidl.fr/p/friture-chocolat-au-lait/p10033665"
"Mini-œufs chocolat","","Favorina","2.99","","150","g","kg","19.93","502","4.8","68.4","23.4","https://www.lidl.fr/p/mini-oeufs-chocolat/p10033666"
"Amandes chocolatées","","Favorina","3.49","","200","g","kg","17.45","533","3.3","70","16.7","https://www.lidl.fr/p/amandes-chocolatees/p10033667"
